section,metric,value,note
summary,total_rows,279.0,
summary,ok_rows,207.0,
summary,rejected_rows,72.0,
summary,coverage_rate,0.7419354838709677,
summary,strict_quality_rows,189.0,
summary,strict_coverage_rate,0.6774193548387096,
summary,duplicate_canonical_id_count,0.0,
summary,missing_score_count,72.0,
summary,source_id_mismatch_count,0.0,
summary,source_id_raw_difference_count,31.0,
summary,ambiguous_id_count,5.0,
summary,baseline_years_provided_count,279.0,
summary,baseline_years_diff_finite_count,279.0,
summary,baseline_diff_gt_0p01_count,0.0,
summary,baseline_diff_max,1.7763568394002505e-15,
status_count,OK,207.0,
status_count,TOO_FEW_POINTS,70.0,
status_count,NO_DATA,2.0,
band_coverage_count,"W1,W2",241.0,
band_coverage_count,none,31.0,
band_coverage_count,W1_only,7.0,
rejection_bucket_count,ok,207.0,
rejection_bucket_count,few_epochs,38.0,
rejection_bucket_count,too_few_points_other,29.0,
rejection_bucket_count,short_baseline,3.0,
rejection_bucket_count,no_data,2.0,
id_mismatch_count,<none>,248.0,
id_mismatch_count,sdss_double_j,31.0,
id_integrity,source_id_mismatch_count,0.0,
id_integrity,source_id_raw_difference_count,31.0,
id_integrity,ambiguous_id_count,5.0,
baseline_check,baseline_diff_gt_0p01_count,0.0,
baseline_check,baseline_diff_max,1.7763568394002505e-15,
correlation,score_vs_n_points,0.34851914515606247,p=2.658e-07; n=207
correlation,score_vs_baseline_years,0.21159136955401572,p=2.209e-03; n=207
correlation,score_vs_delta_mag,0.09031684574304005,p=1.956e-01; n=207
correlation,score_vs_abs_delta_mag,0.5683833542318615,p=4.150e-19; n=207
