rank,source_id,canonical_id,source_id_normalized,canonical_id_normalized,score,status,n_points_results,baseline_days_results,baseline_years_results,band_coverage_results,delta_mag_results,raw_points_total,kept_points_total,fraction_rejected_total,kept_points_w1,kept_points_w2,season_bins_w1,season_bins_w2,has_pre_gap,has_post_gap,has_both_sides,systematics_verdict,blazar_match,known_clagn_match,stage_a_positive,gate_blazar_veto,gate_wise_qc_pass,gate_data_sufficient,gate_state_change_ratio_pass,gate_transient_spike_pass,state_change_ratio_value,transient_spike_flag,transient_max_nonpeak_ratio,transient_max_adjacency_ratio,transient_min_band_seasons,fp_mode_hint,final_label,decision_trace,coordinate_source,is_top_clagn_candidate,card_path,figure_path
1,4645750160709248,4645750160709248,4645750160709248,4645750160709248,0.842179,OK,190.000000,5096.470296,13.953375,"W1,W2",0.537504,604,589,0.024834,298,291,24,24,True,True,True,PASS,False,False,True,True,True,True,True,True,6.101449,False,0.959044,0.904580,24,unknown,Rejected,stage_a_positive=pass;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/01_4645750160709248.md,outputs/v2_rows/figures/4645750160709248_wise.png
2,3C 279,3C 279,3C 279,3C 279,0.825000,OK,191.000000,5269.149044,14.426144,"W1,W2",0.261190,636,636,0.000000,318,318,15,15,True,True,True,PASS,True,False,True,False,True,True,True,True,46.888889,False,0.965795,0.965795,15,unknown,Known blazar,stage_a_positive=pass;gate_blazar_veto=fail;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/02_3C_279.md,outputs/v2_rows/figures/3C_279_wise.png
3,BL Lac,BL Lac,BL LAC,BL LAC,0.795333,OK,247.000000,5114.356493,14.002345,"W1,W2",0.825271,982,140,0.857434,5,135,4,10,False,True,False,CAUTION,True,False,True,False,True,True,True,True,365.154535,False,0.655860,0.655860,4,artifact_like,Known blazar,stage_a_positive=pass;gate_blazar_veto=fail;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/03_BL_Lac.md,outputs/v2_rows/figures/BL_Lac_wise.png
4,SDSSJJ141324.27+530527.0,SDSSJ141324.27+530527.0,SDSSJ141324.27+530527.0,SDSSJ141324.27+530527.0,0.761227,OK,404.000000,5098.947455,13.960157,"W1,W2",0.091610,1218,1215,0.002463,609,606,24,24,False,True,False,CAUTION,False,False,True,True,True,True,True,True,26.929577,False,0.473333,0.390476,24,unknown,Known AGN,stage_a_positive=pass;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/04_SDSSJ141324.27+530527.0.md,outputs/v2_rows/figures/SDSSJ141324.27+530527.0_wise.png
5,SDSSJJ082323.88+422048.2,SDSSJ082323.88+422048.2,SDSSJ082323.88+422048.2,SDSSJ082323.88+422048.2,0.757734,OK,253.000000,5098.611096,13.959236,"W1,W2",0.436716,614,614,0.000000,307,307,23,23,True,True,True,PASS,False,False,True,True,True,True,True,True,21.112360,False,0.937690,0.820513,23,unknown,Known AGN,stage_a_positive=pass;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/05_SDSSJ082323.88+422048.2.md,outputs/v2_rows/figures/SDSSJ082323.88+422048.2_wise.png
6,TON 1542,TON 1542,TON 1542,TON 1542,0.754087,OK,289.000000,5098.272694,13.958310,"W1,W2",0.620792,704,703,0.001420,352,351,24,24,False,True,False,CAUTION,True,False,True,False,True,True,True,True,60.272727,False,0.985795,0.985795,24,unknown,Known blazar,stage_a_positive=pass;gate_blazar_veto=fail;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/06_TON_1542.md,outputs/v2_rows/figures/TON_1542_wise.png
7,SDSSJ153612.80+034245.7,SDSSJ153612.80+034245.7,SDSSJ153612.80+034245.7,SDSSJ153612.80+034245.7,0.731372,OK,269.000000,5276.732380,14.446906,"W1,W2",-0.925105,644,642,0.003106,322,320,24,24,True,True,True,PASS,False,True,True,True,True,True,True,True,16.575221,False,0.973538,0.973538,24,unknown,Known AGN,stage_a_positive=pass;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/07_SDSSJ153612.80+034245.7.md,outputs/v2_rows/figures/SDSSJ153612.80+034245.7_wise.png
8,SDSSJJ101322.43+214021.74,SDSSJ101322.43+214021.74,SDSSJ101322.43+214021.74,SDSSJ101322.43+214021.74,0.729755,OK,180.000000,5098.376905,13.958595,"W1,W2",-0.509843,564,564,0.000000,282,282,23,23,True,True,True,PASS,False,False,True,True,True,True,True,True,5.591912,False,0.782419,0.782419,23,unknown,Known AGN,stage_a_positive=pass;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/08_SDSSJ101322.43+214021.74.md,outputs/v2_rows/figures/SDSSJ101322.43+214021.74_wise.png
9,SDSSJJ100256.22+475027.7,SDSSJ100256.22+475027.7,SDSSJ100256.22+475027.7,SDSSJ100256.22+475027.7,0.719130,OK,291.000000,5101.828652,13.968046,"W1,W2",0.645789,704,704,0.000000,352,352,23,23,True,True,True,PASS,False,False,True,True,True,True,True,True,24.967742,False,0.883792,0.883792,23,unknown,Known AGN,stage_a_positive=pass;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/09_SDSSJ100256.22+475027.7.md,outputs/v2_rows/figures/SDSSJ100256.22+475027.7_wise.png
10,3C 345,3C 345,3C 345,3C 345,0.712666,OK,505.000000,5277.517284,14.449055,"W1,W2",-0.029266,1260,1258,0.001587,630,628,24,24,True,True,True,PASS,True,False,True,False,True,True,True,True,69.463415,False,0.813550,0.782851,24,unknown,Known blazar,stage_a_positive=pass;gate_blazar_veto=fail;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/10_3C_345.md,outputs/v2_rows/figures/3C_345_wise.png
