feature,mean_abs_shap
composite_score,0.0
drw_residual_skewness,0.0
n_coherent_seasons,0.0
flux_ratio_mean,0.0
flux_ratio_std,0.0
flux_ratio_trend,0.0
flux_ratio_skewness,0.0
flux_ratio_peak_to_trough,0.0
flux_ratio_percentile_90_10,0.0
flux_ratio_late_minus_early,0.0
drw_sigma,0.0
drw_tau,0.0
drw_residual_rms,0.0
drw_residual_autocorr,0.0
color_slope_early,0.0
drw_fit_quality,0.0
drw_residual_trend,0.0
drw_chi2_per_dof,0.0
z_corrected_amplitude,0.0
z_corrected_color_slope,0.0
luminosity_change_proxy,0.0
z_corrected_drw_sigma,0.0
intrinsic_variability_proxy,0.0
n_epochs,0.0
n_seasons,0.0
baseline_days,0.0
coherence_recovery,0.0
coherence_drop_amplitude,0.0
max_season_coherence,0.0
min_season_coherence,0.0
color_slope_late,0.0
color_asymmetry,0.0
color_range,0.0
color_flux_corr,0.0
dust_lag_proxy,0.0
wavelet_d1,0.0
wavelet_d2,0.0
wavelet_d3,0.0
wavelet_approx_power,0.0
wavelet_power_ratio_3_1,0.0
wavelet_power_ratio_3_2,0.0
wavelet_entropy,0.0
wavelet_hurst,0.0
break_magnitude,0.0
break_significance,0.0
pre_break_slope,0.0
post_break_slope,0.0
slope_change,0.0
break_fractional_position,0.0
break_duration_yr,0.0
n_detected_breaks,0.0
mean_season_coherence,0.0
coherence_trend,0.0
z,0.0
