amplitude,timescale_yr,shape,n_trials,n_detected,n_skipped,completeness
0.2,0.5,step,20,3,0,0.15
0.2,0.5,ramp,20,4,0,0.2
0.2,1.0,step,20,3,0,0.15
0.2,1.0,ramp,20,3,0,0.15
0.2,2.0,step,20,2,0,0.1
0.2,2.0,ramp,20,4,0,0.2
0.2,5.0,step,20,5,0,0.25
0.2,5.0,ramp,20,1,0,0.05
0.5,0.5,step,20,18,0,0.9
0.5,0.5,ramp,20,18,0,0.9
0.5,1.0,step,20,17,0,0.85
0.5,1.0,ramp,20,20,0,1.0
0.5,2.0,step,20,17,0,0.85
0.5,2.0,ramp,20,20,0,1.0
0.5,5.0,step,20,18,0,0.9
0.5,5.0,ramp,20,20,0,1.0
1.0,0.5,step,20,18,0,0.9
1.0,0.5,ramp,20,20,0,1.0
1.0,1.0,step,20,20,0,1.0
1.0,1.0,ramp,20,20,0,1.0
1.0,2.0,step,20,19,0,0.95
1.0,2.0,ramp,20,20,0,1.0
1.0,5.0,step,20,19,0,0.95
1.0,5.0,ramp,20,20,0,1.0
1.5,0.5,step,20,19,0,0.95
1.5,0.5,ramp,20,20,0,1.0
1.5,1.0,step,20,19,0,0.95
1.5,1.0,ramp,20,20,0,1.0
1.5,2.0,step,20,19,0,0.95
1.5,2.0,ramp,20,20,0,1.0
1.5,5.0,step,20,19,0,0.95
1.5,5.0,ramp,20,20,0,1.0
