source_id,ra,dec,redshift,spectral_state_1,spectral_state_2,epoch_1,epoch_2,class,label_source,label_method,independent_of_pipeline,confidence,g_mag,notes,mag,y_true,canonical_id,split,source_id_score,score,status,n_points,baseline_days,band_coverage,baseline_years,delta_mag,delta_mag_method,rejection_reason,used_for_metrics,predicted
SDSSJJ105325.40+302419.34,163.35585,30.40536,0.248999997973442,B,D,53463,58141,clagn,2022ApJ...933..180G,spectroscopic,True,gold,,,,1,SDSSJ105325.40+302419.34,test,SDSSJJ105325.40+302419.34,0.5579657491315172,OK,255,5098.362785030004,"W1,W2",13.958556564079409,-0.5883952016717737,seasonal_median_flux,,True,1.0
SDSSJJ080138.67+423354.1,120.41114,42.565039,0.77132714,spec_epoch1,spec_epoch2,55178,57073,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0,,,1,SDSSJ080138.67+423354.1,test,SDSSJJ080138.67+423354.1,0.1000676146394705,OK,187,5098.721880649995,"W1,W2",13.959539714305256,0.047341643402344,seasonal_median_flux,,True,0.0
SDSSJJ082942.66+415436.8,127.42778,41.910244,0.12638536,spec_epoch1,spec_epoch2,52266,54524,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0,,,1,SDSSJ082942.66+415436.8,test,SDSSJJ082942.66+415436.8,0.6771920586265717,OK,255,5098.573278289994,"W1,W2",13.959132863216958,0.416279429170353,seasonal_median_flux,,True,1.0
SDSSJJ005813.68+001409.09,14.55703,0.23586,0.6790000200271606,B,D,57360,58097,clagn,2022ApJ...933..180G,spectroscopic,True,gold,,,,1,SDSSJ005813.68+001409.09,test,SDSSJJ005813.68+001409.09,0.2727415563029431,OK,83,5114.021383730003,"W1,W2",14.001427470855589,0.0762673829130732,seasonal_median_flux,,True,0.0
NGC 7582,349.598,-42.369998931884766,0.0052000000141561,,2.0,1977-01-01,2016-07-27,clagn,1981ApJ...246L..11M,spectroscopic,True,gold,,,,1,NGC 7582,test,NGC 7582,0.4140273311911018,OK,31,5113.524164809998,"W1,W2",14.000066159644074,0.0,seasonal_median_flux,,True,1.0
SDSSJ074511.98+380911.3,116.29994,38.15314,0.2370000034570694,spec_epoch1,spec_epoch2,51873,58081,clagn,2019ApJ...874....8M,spectroscopic,True,gold,18.714000701904297,,,1,SDSSJ074511.98+380911.3,test,SDSSJ074511.98+380911.3,0.4335295921022778,OK,210,5098.462999769996,"W1,W2",13.958830937084178,-0.0399384020983716,seasonal_median_flux,,True,1.0
SDSSJJ025410.08+034911.9,43.542023,3.8200029,0.774285,spec_epoch1,spec_epoch2,55477,58029,clagn,2024ApJS..272...13S,spectroscopic,True,gold,3.0,,,1,SDSSJ025410.08+034911.9,test,SDSSJJ025410.08+034911.9,0.680954769053413,OK,207,5096.450430950004,"W1,W2",13.953320823956206,0.5362738676664467,seasonal_median_flux,,True,1.0
SDSSJ102152.34+464515.6,155.46813,46.75436,0.2039999961853027,spec_epoch1,spec_epoch2,52614,56769,clagn,2019ApJ...874....8M,spectroscopic,True,gold,18.163999557495117,,,1,SDSSJ102152.34+464515.6,test,SDSSJ102152.34+464515.6,0.5985735586890277,OK,221,5098.634630679997,"W1,W2",13.95930083690622,-0.4433461911228715,seasonal_median_flux,,True,1.0
SDSSJ160111.26+474509.6,240.2969,47.75267,0.296999990940094,spec_epoch1,spec_epoch2,52354,57895,clagn,2019ApJ...874....8M,spectroscopic,True,gold,19.285999298095703,,,1,SDSSJ160111.26+474509.6,test,SDSSJ160111.26+474509.6,0.4393745242995799,OK,411,5275.901768980002,"W1,W2",14.444631811033544,0.1963685924092912,seasonal_median_flux,,True,1.0
SDSSJJ022930.91-000845.37,37.37882,-0.14596,0.609000027179718,B,D,52200,58072,clagn,2022ApJ...933..180G,spectroscopic,True,gold,,,,1,SDSSJ022930.91-000845.37,test,SDSSJJ022930.91-000845.37,0.6443719923024547,OK,208,5304.715851070003,"W1,W2",14.523520468364142,-0.3006145009622831,seasonal_median_flux,,True,1.0
